Entity,Year,Access to electricity (% of population),Source,Value
Tonga,2020,100,Electricity from fossil fuels (TWh),0.06
Tonga,2020,100,Electricity from nuclear (TWh),0
Tonga,2020,100,Electricity from renewables (TWh),0.01
Trinidad and Tobago,2020,100,Electricity from fossil fuels (TWh),8.2
Trinidad and Tobago,2020,100,Electricity from nuclear (TWh),0
Trinidad and Tobago,2020,100,Electricity from renewables (TWh),0.01
Tunisia,2020,100,Electricity from fossil fuels (TWh),18.73
Tunisia,2020,100,Electricity from nuclear (TWh),0
Tunisia,2020,100,Electricity from renewables (TWh),0.85
Turkey,2020,100,Electricity from fossil fuels (TWh),177.08
Turkey,2020,100,Electricity from nuclear (TWh),0
Turkey,2020,100,Electricity from renewables (TWh),128.34
Turkmenistan,2020,100,Electricity from fossil fuels (TWh),20.11
Turkmenistan,2020,100,Electricity from nuclear (TWh),0
Turkmenistan,2020,100,Electricity from renewables (TWh),0
Uganda,2020,42.074417,Electricity from fossil fuels (TWh),0.13
Uganda,2020,42.074417,Electricity from nuclear (TWh),0
Uganda,2020,42.074417,Electricity from renewables (TWh),4.32
Ukraine,2020,100,Electricity from fossil fuels (TWh),54.5
Ukraine,2020,100,Electricity from nuclear (TWh),76.2
Ukraine,2020,100,Electricity from renewables (TWh),17.56
United Arab Emirates,2020,100,Electricity from fossil fuels (TWh),119.49
United Arab Emirates,2020,100,Electricity from nuclear (TWh),1.56
United Arab Emirates,2020,100,Electricity from renewables (TWh),5.5
United Kingdom,2020,100,Electricity from fossil fuels (TWh),124.78
United Kingdom,2020,100,Electricity from nuclear (TWh),50.85
United Kingdom,2020,100,Electricity from renewables (TWh),131.74
United States of America,2020,100,Electricity from fossil fuels (TWh),2431.9
United States of America,2020,100,Electricity from nuclear (TWh),789.88
United States of America,2020,100,Electricity from renewables (TWh),821.4
Uruguay,2020,100,Electricity from fossil fuels (TWh),2.4
Uruguay,2020,100,Electricity from nuclear (TWh),0
Uruguay,2020,100,Electricity from renewables (TWh),11.14
Uzbekistan,2020,100,Electricity from fossil fuels (TWh),50.93
Uzbekistan,2020,100,Electricity from nuclear (TWh),0
Uzbekistan,2020,100,Electricity from renewables (TWh),5.01
Vanuatu,2020,67.33327,Electricity from fossil fuels (TWh),0.05
Vanuatu,2020,67.33327,Electricity from nuclear (TWh),0
Vanuatu,2020,67.33327,Electricity from renewables (TWh),0.02
Yemen,2020,73.75793,Electricity from fossil fuels (TWh),2.74
Yemen,2020,73.75793,Electricity from nuclear (TWh),0
Yemen,2020,73.75793,Electricity from renewables (TWh),0.49
Zambia,2020,44.524475,Electricity from fossil fuels (TWh),2
Zambia,2020,44.524475,Electricity from nuclear (TWh),0
Zambia,2020,44.524475,Electricity from renewables (TWh),13.1
Zimbabwe,2020,52.74767,Electricity from fossil fuels (TWh),3.4
Zimbabwe,2020,52.74767,Electricity from nuclear (TWh),0
Zimbabwe,2020,52.74767,Electricity from renewables (TWh),4.19
